jb_id|release_day|release_month|release_year|jb_title
0|04|09|2013|Do You Expect Me To Talk?
1|04|09|2013|Dr. No With Paul F. Tompkins
2|12|09|2013|Skyfall with Steve Agee
3|19|09|2013|From Russia With Love with Jonah Ray
4|26|09|2013|Quantum of Solace with Emily Gordon
5|03|10|2013|Goldfinger with Alie and Georgia
6|10|10|2013|Casino Royale with Amanda Lund and Maria Blasucci
7|17|10|2013|Thunderball with Scott Mosier
8|24|10|2013|Die Another Day with Ben Blacker and Ben Acker
9|31|10|2013|You Only Live Twice with Vanessa Ramos
10|07|11|2013|The World Is Not Enough with Derek Miller and Jeremy Smith
11|21|11|2013|Mission Briefing
12|05|12|2013|On Her Majesty’s Secret Service with Paul Scheer
13|12|12|2013|Tomorrow Never Dies with Jordan Morris
14|19|12|2013|Diamonds Are Forever with Doug Benson
15|23|01|2014|GoldenEye with Craig Rowin
16|06|02|2014|Live and Let Die with Paul F. Tompkins
17|06|03|2014|Mission Briefing #2
18|25|04|2014|James WonderConing
19|01|05|2014|License to Kill with Amanda Lund and Maria Blasucci
20|26|06|2014|Mission Briefing #3
21|17|07|2014|The Man with the Golden Gun with Greg Proops and Jeff Davis
22|02|10|2014|Best and Worst of Bond Live
23|23|10|2014|The Living Daylights with Cole Stratton
24|04|12|2014|The Spy Who Loved Me with Dana Gould
25|04|12|2014|Mission Briefing SPECTRE
26|12|12|2014|A View To A Kill LIVE with How Did This Get Made
27|31|03|2015|Moonraker with Doug Benson
28|12|06|2015|Never Say Never Again with Aaron Abrams
29|27|08|2015|Octopussy
30|08|10|2015|Mission Briefing: SPECTRE Trailer
31|26|10|2015|For Your Eyes Only with Tom Lennon
32|05|11|2015|SPECTRE
33|05|01|2016|SPECTRE #2 with Paul Scheer
34|04|12|2016|The Music of James Bond with Andrew Secunda
35|01|08|2017|Are You Ready to Get Back to Work, 007?
36|08|08|2017|Nobody Did it Better: Roger Moore Tribute
37|15|08|2017|Goldeneye with Steve Agee
38|22|08|2017|Park, Theme Park (with Paul Scheer)
39|29|08|2017|Goldfinger with Amanda Lund and Maria Blasucci
40|05|09|2017|For Our Eyes Mostly – Mailbag
41|12|09|2017|A View To A Kill with Kumail Nanjiani
42|19|09|2017|Cold Openings, Hot Rankings with James Bladon
43|26|09|2017|Tomorrow Never Dies with Alex Schmidt
44|03|10|2017|James Bond By The Numbers with FiveThirtyEight’s Walt Hickey
45|10|10|2017|The Living Daylights with Daniel Michicoff, Jeff Crocker, and Matt Maust
46|17|10|2017|The Henchmen Ranked
47|24|10|2017|License To Kill with Marc Bernardin
48|31|10|2017|Timothy Dalton’s 3rd Bond Film with Chris Klimek and Mark McConville
49|07|11|2017|Skyfall with Paul Sabourin
50|14|11|2017|Indiana Jonesing with Paul Rust
51|21|11|2017|You Only Live Twice with Paul F. Tompkins
52|28|11|2017|Villain Deaths Ranked
53|05|12|2017|Die Another Day with Andy Secunda
54|12|12|2017|Q and A
55|19|12|2017|On Her Majesty’s Secret Service with Maurice LaMarche
56|26|12|2017|The Movie Posters of James Bond
57|09|01|2018|Diamonds Are Forever with Kristian Bruun
58|16|01|2018|Top Ten Odd Casting Choices for James Bond Movies
59|23|01|2018|Moonraker with Bobak Ferdowsi and James Bladon
60|30|01|2018|Every Gadget Ever
61|06|02|2018|The Man With The Golden Gun with Emily Schmemily
62|13|02|2018|Directors of James Bond Ranked
63|20|02|2018|From Russia With Love with Kevin T. Porter
64|26|02|2018|Danny Boyle and Bond #25
65|06|03|2018|Octopussy with Roman Mars
66|12|03|2018|Bond and Star Wars with Pete The Retailer, Alex Robinson, James Bladon and Mark McConville
67|19|03|2018|SPECTRE with Doree Shafrir and Amanda Lund
68|26|03|2018|Casino Royale ’67 with Maurice LaMarche
69|02|04|2018|The World Is Not Enough with Dani Snow
70|09|04|2018|Vesper’s Dilemma Crossover Episode With The Big Ones
71|16|04|2018|Thunderball with Maria Blasucci and Amanda Lund
72|23|04|2018|Our Man In The East Returns!  Phil Nobile Jr
73|30|04|2018|Live and Let Die With Phil Nobile JR
74|07|05|2018|Bond, James Bond: Ranked
75|14|05|2018|For Your Eyes Only with John Ross Bowie
76|21|05|2018|On Her Majesty’s Secret Slideshow
77|28|05|2018|The Spy Who Loved Me with James Bladon
78|05|06|2018|The Women of Bond with Dani Snow
79|11|06|2018|Dr. No with Molly Hawkey
80|18|06|2018|Austin Powers with Brian Aubert
81|25|06|2018|Casino of Solace Part 1 with Amanda Lund and Maria Blasucci
82|02|07|2018|Casino of Solace Part 2 with Amanda Lund and Maria Blasucci
83|09|07|2018|The Spy Who Shagged Me
84|16|07|2018|Never Say Never Again with Ben Blacker
85|23|07|2018|Goldmember
86|30|07|2018|Season 2 Finale
87|09|10|2018|Mission Briefing: Director News And Podcast Return Update!
88|18|02|2019|Season 3 Fantasy Bond Draft (w/ James Bladon, Mark McConville)
89|26|02|2019|Bonus: Dr. No Commentary
90|04|03|2019|On Your Commentary’s Secret Service!
91|12|03|2019|Bonus: Live From The London Podcast Festival!
92|18|03|2019|James Bonding AMA
93|26|03|2019|Bonus: Live and Let Die Commentary
94|01|04|2019|Living Daylights Commentary
95|09|04|2019|Bonus: Goldeneye Commentary
96|15|04|2019|James Bonding Fantasy Film Draft 2
97|23|04|2019|Bonus: Special Edition-ing The Bond Films
98|29|04|2019|James Bonding Cocktail Party Podcast Part 1
99|07|05|2019|Bonus: James Bonding Cocktail Party Podcast Part 2
100|13|05|2019|Bond 25 Press Conference Breakdown
101|21|05|2019|Bonus: Casino Royale Commentary
102|27|05|2019|Quantum of Solace Commentary
103|04|06|2019|Bonus: A Live And Let Die Tarot Reading
104|10|06|2019|Diamonds Are Forever Commentary
105|18|06|2019|Bonus: Die Another Day Commentary
106|24|06|2019|007 Shadow Draft
107|02|07|2019|Bonus: Licence To Kill Commentary
108|08|07|2019|A View To A Kill Commentary
109|16|07|2019|Bonus: BOND25 RUMOR VS. FACT
110|22|07|2019|Tomorrow Never Dies Commentary
111|30|07|2019|Bonus: Octopussy Commentary
112|04|12|2019|MISSION BRIEFING: No Time To Die Trailer Breakdown
113|28|01|2020|Live from SF Sketchfest 2020!
114|22|09|2021|No Time To Die Is Nigh
115|11|10|2021|No Time To Die Discussed!
116|04|10|2022|JAMES BONDING BACK CATALOGUE RE-RELEASE AND CATCH-UP
117|01|03|2023|INDIANA JONESING: RAIDERS OF THE LOST ARK
118|18|04|2023|INDIANA JONESING: TEMPLE OF DOOM
119|06|06|2023|INDIANA JONESING: LAST CRUSADE
120|19|06|2023|INDIANA JONESING: KINGDOM OF THE CRYSTAL SKULL
121|01|07|2023|INDIANA JONESING: DIAL OF DESTINY
